ZIP Code,YoY Growth 2024,Total Exposure 2024,YoY Growth 2023,Total Exposure 2023,YoY Growth 2022,Total Exposure 2022,YoY Growth 2021,Total Exposure 2021,Total Exposure 2020
93242,212.9%,"$ 8 43,300",0.0%,"$ 2 69,500",-100.0%,$ -,6.2%,"$ 2 74,793","$ 2 58,750"
93602,14.8%,"$ 3 52,778,363",10.6%,"$ 3 07,290,348",16.1%,"$ 2 77,837,430",4.1%,"$ 2 39,389,619","$ 2 29,911,677"
93606,0.0%,"$ 2 95,399",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
93608,-69.6%,"$ 2 20,470",96.0%,"$ 7 25,746",101.3%,"$ 3 70,225",-48.7%,"$ 1 83,930","$ 3 58,594"
93609,58.5%,"$ 4 ,965,852",-11.9%,"$ 3 ,133,133",52.4%,"$ 3 ,556,271",17.0%,"$ 2 ,333,053","$ 1 ,993,428"
93611,166.4%,"$ 1 3,282,394",58.0%,"$ 4 ,985,344",35.1%,"$ 3 ,155,149",7.5%,"$ 2 ,335,115","$ 2 ,171,682"
93612,333.3%,"$ 8 ,322,893",-5.7%,"$ 1 ,920,772",63.6%,"$ 2 ,037,839",73.8%,"$ 1 ,245,637","$ 7 16,613"
93616,193.9%,"$ 1 ,702,673",-42.1%,"$ 5 79,245",0.0%,"$ 1 ,000,500",0.0%,$ -,$ -
93619,57.4%,"$ 2 88,607,273",78.9%,"$ 1 83,359,328",132.3%,"$ 1 02,466,836",33.6%,"$ 4 4,103,870","$ 3 3,012,895"
Total,59.4%,"$ 431,066,383,171",33.8%,"$ 2 70,510,184,565",29.8%,"$ 2 02,103,248,060",35.0%,"$ 1 55,719,573,171","$ 1 15,311,779,134"
93621,15.5%,"$ 1 5,353,486",86.1%,"$ 1 3,298,500",5.5%,"$ 7 ,144,805",36.9%,"$ 6 ,772,245","$ 4 ,947,135"
93622,192.6%,"$ 2 5,163,448",157.7%,"$ 8 ,598,989",106.7%,"$ 3 ,336,379",2.4%,"$ 1 ,614,419","$ 1 ,575,902"
93624,0.0%,"$ 5 74,011",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
93625,596.6%,"$ 3 ,027,477",-70.2%,"$ 4 34,607",138.5%,"$ 1 ,458,606",71.1%,"$ 6 11,550","$ 3 57,500"
93626,78.6%,"$ 1 49,947,928",39.2%,"$ 8 3,979,013",84.8%,"$ 6 0,337,143",45.4%,"$ 3 2,654,172","$ 2 2,460,782"
93627,0.0%,$ -,0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
93628,14.4%,"$ 7 4,265,863",55.9%,"$ 6 4,891,171",34.4%,"$ 4 1,632,421",33.8%,"$ 3 0,971,809","$ 2 3,142,599"
93630,10.5%,"$ 9 ,308,961",41.6%,"$ 8 ,422,416",100.6%,"$ 5 ,949,590",271.1%,"$ 2 ,966,394","$ 7 99,408"
93631,25.9%,"$ 3 ,534,515",30.5%,"$ 2 ,806,315",-45.2%,"$ 2 ,150,478",217.2%,"$ 3 ,924,430","$ 1 ,237,179"
93633,17.0%,"$ 3 4,145,244",26.3%,"$ 2 9,191,833",38.0%,"$ 2 3,121,214",32.2%,"$ 1 6,753,276","$ 1 2,669,084"
93634,15.3%,"$ 7 6,295,611",3.1%,"$ 6 6,187,558",0.0%,"$ 6 4,204,235",0.0%,$ -,$ -
93640,961.7%,"$ 3 0,788,578",101.9%,"$ 2 ,899,963",-32.5%,"$ 1 ,436,607",64.8%,"$ 2 ,128,495","$ 1 ,291,323"
93641,-1.9%,"$ 2 9,273,684",45.5%,"$ 2 9,841,879",22.5%,"$ 2 0,506,240",46.6%,"$ 1 6,733,901","$ 1 1,411,562"
93646,29.8%,"$ 4 ,613,258",-21.3%,"$ 3 ,555,252",50.1%,"$ 4 ,517,538",9.4%,"$ 3 ,010,109","$ 2 ,750,584"
93648,0.0%,"$ 1 ,225,750",0.0%,$ -,0.0%,$ -,-100.0%,$ -,"$ 3 41,900"
93650,937.6%,"$ 5 ,774,142",-15.4%,"$ 5 56,503",34.9%,"$ 6 57,526",-54.8%,"$ 4 87,293","$ 1 ,078,044"
93651,39.3%,"$ 1 18,256,481",48.7%,"$ 8 4,896,745",6.6%,"$ 5 7,108,567",36.9%,"$ 5 3,575,993","$ 3 9,125,958"
93652,0.0%,$ -,-100.0%,$ -,6.0%,"$ 8 4,788",5.0%,"$ 7 9,980","$ 7 6,200"
93654,113.7%,"$ 2 2,306,212",25.1%,"$ 1 0,437,870",98.6%,"$ 8 ,340,311",20.1%,"$ 4 ,200,176","$ 3 ,496,995"
93656,269.1%,"$ 2 ,294,568",228.7%,"$ 6 21,671",-65.7%,"$ 1 89,156",264.1%,"$ 5 52,007","$ 1 51,595"
93657,53.3%,"$ 6 1,103,327",75.7%,"$ 3 9,868,595",64.0%,"$ 2 2,694,808",65.9%,"$ 1 3,841,588","$ 8 ,344,903"
93660,88.0%,"$ 2 ,049,458",607.6%,"$ 1 ,090,151",8.8%,"$ 1 54,072",7.2%,"$ 1 41,610","$ 1 32,099"
93662,191.1%,"$ 9 ,611,546",29.9%,"$ 3 ,302,355",503.2%,"$ 2 ,542,663",7.1%,"$ 4 21,502","$ 3 93,501"
93664,10.2%,"$ 1 ,365,644,157",12.5%,"$ 1 ,239,380,396",5.7%,"$ 1 ,101,372,930",29.2%,"$ 1 ,041,585,672","$ 8 06,049,204"
93667,6.9%,"$ 1 64,398,447",32.7%,"$ 1 53,743,263",42.6%,"$ 1 15,889,930",44.2%,"$ 8 1,275,636","$ 5 6,366,776"
93668,178.6%,"$ 5 70,200",0.0%,"$ 2 04,700",0.0%,"$ 2 04,700",0.0%,"$ 2 04,700","$ 2 04,700"
93675,26.6%,"$ 1 65,561,026",79.5%,"$ 1 30,735,749",160.9%,"$ 7 2,829,709",127.1%,"$ 2 7,917,403","$ 1 2,294,792"
93701,99.9%,"$ 1 0,970,134",21.2%,"$ 5 ,487,807",20.7%,"$ 4 ,526,483",6.6%,"$ 3 ,750,241","$ 3 ,519,575"
93702,94.0%,"$ 3 1,467,627",-7.4%,"$ 1 6,218,545",29.9%,"$ 1 7,522,269",-5.3%,"$ 1 3,484,619","$ 1 4,235,205"
93703,148.4%,"$ 1 7,019,439",4.6%,"$ 6 ,852,666",107.7%,"$ 6 ,551,773",-21.7%,"$ 3 ,153,983","$ 4 ,030,166"
93704,196.6%,"$ 1 2,883,894",-24.0%,"$ 4 ,344,545",-4.8%,"$ 5 ,715,577",43.3%,"$ 6 ,002,648","$ 4 ,188,214"
93705,321.3%,"$ 1 4,319,363",29.9%,"$ 3 ,398,566",-1.9%,"$ 2 ,617,206",-9.2%,"$ 2 ,667,066","$ 2 ,937,144"
93706,111.7%,"$ 3 8,593,979",31.1%,"$ 1 8,232,170",35.5%,"$ 1 3,912,033",-4.0%,"$ 1 0,266,237","$ 1 0,692,083"
93710,108.3%,"$ 5 ,472,337",283.2%,"$ 2 ,627,582",-27.4%,"$ 6 85,765",-2.5%,"$ 9 44,233","$ 9 68,466"
93711,160.1%,"$ 2 6,168,302",17.4%,"$ 1 0,059,227",101.8%,"$ 8 ,571,096",42.1%,"$ 4 ,246,808","$ 2 ,989,203"
93720,455.4%,"$ 1 5,200,631",1493.5%,"$ 2 ,736,750",-84.2%,"$ 1 71,748",-22.9%,"$ 1 ,086,030","$ 1 ,408,349"
93721,26.7%,"$ 1 ,697,628",-3.0%,"$ 1 ,339,668",40.1%,"$ 1 ,381,509",5.4%,"$ 9 85,940","$ 9 35,056"
93722,153.9%,"$ 3 1,342,592",51.2%,"$ 1 2,346,196",22.6%,"$ 8 ,166,188",1.9%,"$ 6 ,659,851","$ 6 ,533,289"
93723,104.7%,"$ 6 ,713,663",15.1%,"$ 3 ,280,209",-23.9%,"$ 2 ,849,829",19.8%,"$ 3 ,746,877","$ 3 ,127,590"
93725,54.7%,"$ 1 4,284,879",56.0%,"$ 9 ,232,039",17.3%,"$ 5 ,917,661",-5.9%,"$ 5 ,043,783","$ 5 ,362,866"
93726,1848.3%,"$ 1 3,535,359",-55.5%,"$ 6 94,744",30.0%,"$ 1 ,560,300",-50.0%,"$ 1 ,199,831","$ 2 ,397,913"
93727,287.8%,"$ 3 3,182,404",43.8%,"$ 8 ,556,016",23.3%,"$ 5 ,950,094",21.4%,"$ 4 ,823,840","$ 3 ,973,378"
93728,98.7%,"$ 1 7,492,044",3.4%,"$ 8 ,801,336",15.0%,"$ 8 ,512,642",2.1%,"$ 7 ,400,996","$ 7 ,246,602"
Total,59.4%,"$ 431,066,383,171",33.8%,"$ 2 70,510,184,565",29.8%,"$ 2 02,103,248,060",35.0%,"$ 1 55,719,573,171","$ 1 15,311,779,134"
93730,1529.3%,"$ 6 ,808,766",-56.4%,"$ 4 17,885",7.8%,"$ 9 58,549",-39.4%,"$ 8 88,836","$ 1 ,465,625"
93737,269.8%,"$ 6 ,554,298",5.2%,"$ 1 ,772,239",-32.7%,"$ 1 ,684,535",365.8%,"$ 2 ,504,540","$ 5 37,690"
95920,-100.0%,$ -,0.0%,"$ 2 21,000",0.0%,$ -,0.0%,$ -,$ -
95939,15.1%,"$ 8 ,158,989",-14.2%,"$ 7 ,088,456",241.5%,"$ 8 ,263,088",184.5%,"$ 2 ,419,337","$ 8 50,440"
95951,94.2%,"$ 1 ,587,205",0.0%,"$ 8 17,250",0.0%,$ -,0.0%,$ -,$ -
95963,43.6%,"$ 1 2,125,678",27.3%,"$ 8 ,441,442",51.1%,"$ 6 ,629,271",-2.5%,"$ 4 ,387,299","$ 4 ,501,090"
95988,4.6%,"$ 2 ,700,325",185.2%,"$ 2 ,581,567",31.4%,"$ 9 05,194",-45.5%,"$ 6 88,630","$ 1 ,263,310"
95501,213.3%,"$ 3 5,514,316",228.9%,"$ 1 1,335,818",-29.8%,"$ 3 ,446,578",32.1%,"$ 4 ,912,608","$ 3 ,718,587"
95503,116.4%,"$ 1 23,688,632",107.8%,"$ 5 7,152,440",127.1%,"$ 2 7,498,922",20.6%,"$ 1 2,107,856","$ 1 0,036,239"
95511,-5.6%,"$ 6 ,276,014",-32.6%,"$ 6 ,646,046",37.6%,"$ 9 ,858,139",34.7%,"$ 7 ,163,733","$ 5 ,317,569"
95514,-26.6%,"$ 8 ,437,245",6.3%,"$ 1 1,491,674",167.0%,"$ 1 0,809,013",0.5%,"$ 4 ,047,984","$ 4 ,027,601"
95519,132.6%,"$ 1 08,426,640",177.4%,"$ 4 6,609,059",115.4%,"$ 1 6,803,789",101.1%,"$ 7 ,801,927","$ 3 ,879,450"
95521,99.9%,"$ 1 00,868,276",88.3%,"$ 5 0,460,203",31.3%,"$ 2 6,803,964",105.8%,"$ 2 0,420,644","$ 9 ,924,857"
95524,141.3%,"$ 2 7,239,297",99.8%,"$ 1 1,290,475",180.3%,"$ 5 ,649,963",49.8%,"$ 2 ,015,398","$ 1 ,345,251"
95525,56.1%,"$ 2 8,041,978",11.0%,"$ 1 7,967,439",74.0%,"$ 1 6,183,840",-8.2%,"$ 9 ,303,015","$ 1 0,133,325"
95528,75.4%,"$ 2 4,027,974",37.8%,"$ 1 3,701,870",56.8%,"$ 9 ,940,029",76.8%,"$ 6 ,339,562","$ 3 ,586,674"
95536,93.3%,"$ 2 2,797,364",21.5%,"$ 1 1,793,385",25.1%,"$ 9 ,709,754",88.5%,"$ 7 ,762,795","$ 4 ,117,284"
95540,140.4%,"$ 6 2,500,904",79.6%,"$ 2 5,993,406",20.7%,"$ 1 4,472,248",122.0%,"$ 1 1,993,061","$ 5 ,402,073"
95542,-1.1%,"$ 1 53,348,710",17.2%,"$ 1 54,996,666",3.0%,"$ 1 32,236,866",25.8%,"$ 1 28,335,002","$ 1 02,052,655"
95546,23.9%,"$ 1 4,124,961",35.9%,"$ 1 1,402,278",211.0%,"$ 8 ,389,243",107.0%,"$ 2 ,697,309","$ 1 ,302,885"
95547,1022.3%,"$ 6 ,431,064",-68.6%,"$ 5 73,000",90.9%,"$ 1 ,825,812",0.0%,"$ 9 56,250",$ -
95549,59.1%,"$ 3 9,649,549",42.9%,"$ 2 4,917,772",117.2%,"$ 1 7,435,146",49.6%,"$ 8 ,026,842","$ 5 ,367,262"
95550,3.9%,"$ 1 6,442,323",11.8%,"$ 1 5,825,711",62.1%,"$ 1 4,150,881",-14.0%,"$ 8 ,728,875","$ 1 0,149,240"
95551,66.0%,"$ 1 3,747,499",226.6%,"$ 8 ,283,814",49.6%,"$ 2 ,536,306",0.0%,"$ 1 ,695,660",$ -
95554,18.9%,"$ 6 8,945,984",11.7%,"$ 5 7,998,864",15.1%,"$ 5 1,934,113",15.0%,"$ 4 5,106,236","$ 3 9,214,112"
95555,96.3%,"$ 7 ,844,326",-7.5%,"$ 3 ,996,996",227.3%,"$ 4 ,321,681",34.2%,"$ 1 ,320,332","$ 9 84,174"
95556,-13.7%,"$ 2 0,605,996",39.5%,"$ 2 3,880,537",49.8%,"$ 1 7,118,564",6.3%,"$ 1 1,427,457","$ 1 0,754,879"
95558,6.8%,"$ 2 1,049,895",26.5%,"$ 1 9,716,114",18.2%,"$ 1 5,582,618",66.5%,"$ 1 3,177,985","$ 7 ,913,408"
95560,0.0%,"$ 6 0,261,778",10.4%,"$ 6 0,243,218",24.6%,"$ 5 4,570,280",42.6%,"$ 4 3,802,443","$ 3 0,727,654"
95562,252.7%,"$ 2 3,261,364",62.9%,"$ 6 ,594,560",76.4%,"$ 4 ,047,580",101.0%,"$ 2 ,294,966","$ 1 ,141,800"
95564,121.9%,"$ 1 ,915,278",0.0%,"$ 8 63,100",0.0%,$ -,0.0%,$ -,$ -
95565,123.0%,"$ 1 3,201,732",131.6%,"$ 5 ,919,581",471.5%,"$ 2 ,555,909",4.2%,"$ 4 47,211","$ 4 29,334"
95569,-16.3%,"$ 7 ,883,383",45.8%,"$ 9 ,414,454",85.6%,"$ 6 ,458,128",26.8%,"$ 3 ,479,446","$ 2 ,744,105"
95570,79.9%,"$ 5 6,579,537",140.9%,"$ 3 1,445,105",145.0%,"$ 1 3,055,757",48.1%,"$ 5 ,328,090","$ 3 ,596,597"
95573,36.3%,"$ 1 28,900,950",45.2%,"$ 9 4,547,259",19.5%,"$ 6 5,100,396",59.8%,"$ 5 4,464,127","$ 3 4,082,266"
95589,40.8%,"$ 1 00,540,798",53.7%,"$ 7 1,397,427",-0.9%,"$ 4 6,449,726",37.2%,"$ 4 6,873,919","$ 3 4,175,043"
92227,278.0%,"$ 3 7,276,585",18.2%,"$ 9 ,862,755",-1.9%,"$ 8 ,346,824",61.1%,"$ 8 ,507,310","$ 5 ,280,599"
92231,103.9%,"$ 5 5,224,458",21.4%,"$ 2 7,081,243",10.2%,"$ 2 2,311,481",-10.8%,"$ 2 0,240,924","$ 2 2,688,012"
92233,57.6%,"$ 2 ,552,403",9.9%,"$ 1 ,619,908",344.5%,"$ 1 ,473,391",-41.4%,"$ 3 31,466","$ 5 65,953"
92243,113.2%,"$ 7 2,900,635",17.6%,"$ 3 4,198,482",31.1%,"$ 2 9,082,048",15.9%,"$ 2 2,178,203","$ 1 9,143,450"
92249,89.9%,"$ 4 ,063,533",322.6%,"$ 2 ,139,606",-39.8%,"$ 5 06,296",-33.8%,"$ 8 40,812","$ 1 ,271,006"
92250,139.0%,"$ 8 ,882,862",62.3%,"$ 3 ,715,941",-8.0%,"$ 2 ,289,329",48.8%,"$ 2 ,489,087","$ 1 ,672,222"
92251,132.4%,"$ 1 7,380,886",14.3%,"$ 7 ,478,820",-6.2%,"$ 6 ,545,262",12.1%,"$ 6 ,976,042","$ 6 ,221,921"
Total,59.4%,"$ 431,066,383,171",33.8%,"$ 2 70,510,184,565",29.8%,"$ 2 02,103,248,060",35.0%,"$ 1 55,719,573,171","$ 1 15,311,779,134"
92257,83.4%,"$ 4 ,144,883",164.6%,"$ 2 ,259,706",5.6%,"$ 8 54,105",3.7%,"$ 8 09,127","$ 7 80,468"
92259,6.3%,"$ 3 89,574",-54.7%,"$ 3 66,643",4.8%,"$ 8 09,680",4.2%,"$ 7 72,239","$ 7 41,243"
92266,0.0%,"$ 1 ,244,730",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
92273,0.0%,"$ 3 ,775,682",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
92275,0.0%,"$ 5 69,611",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
92281,49.7%,"$ 1 ,589,527",74.4%,"$ 1 ,061,803",9.9%,"$ 6 08,862",5.9%,"$ 5 54,086","$ 5 23,133"
92283,58.5%,"$ 3 ,449,202",50.6%,"$ 2 ,175,970",4.7%,"$ 1 ,444,843",-9.3%,"$ 1 ,379,714","$ 1 ,521,151"
92389,0.0%,"$ 4 22,750",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
93513,143.1%,"$ 9 ,808,245",773.3%,"$ 4 ,034,563",-6.6%,"$ 4 61,998",-37.3%,"$ 4 94,540","$ 7 88,577"
93514,136.4%,"$ 1 16,333,540",128.7%,"$ 4 9,216,139",62.8%,"$ 2 1,520,477",33.4%,"$ 1 3,217,749","$ 9 ,910,997"
93526,134.4%,"$ 2 ,753,700",-8.9%,"$ 1 ,175,029",6.5%,"$ 1 ,289,267",64.0%,"$ 1 ,210,723","$ 7 38,352"
93545,93.0%,"$ 1 4,748,600",13.8%,"$ 7 ,639,883",31.0%,"$ 6 ,711,121",60.1%,"$ 5 ,122,941","$ 3 ,200,714"
93549,0.0%,"$ 1 ,396,500",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
93203,222.1%,"$ 2 8,364,295",120.6%,"$ 8 ,805,151",27.8%,"$ 3 ,991,882",6.7%,"$ 3 ,123,036","$ 2 ,927,207"
93205,30.2%,"$ 9 7,237,611",30.2%,"$ 7 4,706,075",24.7%,"$ 5 7,361,022",53.9%,"$ 4 5,994,480","$ 2 9,883,542"
93206,229.1%,"$ 5 ,720,218",49.1%,"$ 1 ,738,200",180.2%,"$ 1 ,165,430",-55.4%,"$ 4 15,879","$ 9 32,443"
93215,56.1%,"$ 2 1,914,772",76.4%,"$ 1 4,035,076",-0.9%,"$ 7 ,958,248",42.6%,"$ 8 ,033,862","$ 5 ,633,946"
93222,23.3%,"$ 5 22,711,735",14.5%,"$ 4 23,873,440",15.0%,"$ 3 70,039,823",28.4%,"$ 3 21,799,223","$ 2 50,654,697"
93224,6.2%,"$ 8 26,772",0.0%,"$ 7 78,500",0.0%,$ -,0.0%,$ -,$ -
93225,49.5%,"$ 3 75,031,066",27.6%,"$ 2 50,903,011",52.2%,"$ 1 96,650,598",39.1%,"$ 1 29,206,925","$ 9 2,856,219"
93226,24.4%,"$ 1 9,340,052",44.4%,"$ 1 5,546,619",14.5%,"$ 1 0,763,701",33.3%,"$ 9 ,402,156","$ 7 ,054,078"
93238,70.1%,"$ 1 26,870,934",89.6%,"$ 7 4,576,474",41.7%,"$ 3 9,342,221",70.1%,"$ 2 7,755,891","$ 1 6,316,702"
93240,139.3%,"$ 2 71,109,994",97.1%,"$ 1 13,300,300",34.0%,"$ 5 7,472,452",70.0%,"$ 4 2,905,408","$ 2 5,236,579"
93241,82.6%,"$ 6 ,548,315",2.1%,"$ 3 ,585,866",13.2%,"$ 3 ,513,542",6.9%,"$ 3 ,104,106","$ 2 ,903,172"
93243,46.4%,"$ 7 1,917,847",49.8%,"$ 4 9,129,537",55.4%,"$ 3 2,799,464",24.1%,"$ 2 1,105,658","$ 1 7,005,800"
93249,140.7%,"$ 1 ,888,318",141.7%,"$ 7 84,350",-46.2%,"$ 3 24,486",103.8%,"$ 6 02,589","$ 2 95,700"
93250,400.9%,"$ 1 2,245,026",48.2%,"$ 2 ,444,578",149.6%,"$ 1 ,649,738",-27.1%,"$ 6 61,025","$ 9 06,641"
93252,-37.7%,"$ 9 ,312,083",157.2%,"$ 1 4,947,435",28.0%,"$ 5 ,811,690",31.3%,"$ 4 ,540,045","$ 3 ,456,685"
93255,98.6%,"$ 7 ,730,090",72.9%,"$ 3 ,892,616",-17.0%,"$ 2 ,250,902",291.1%,"$ 2 ,712,647","$ 6 93,570"
93263,60.0%,"$ 1 0,165,506",71.5%,"$ 6 ,355,145",1.0%,"$ 3 ,704,565",46.4%,"$ 3 ,666,747","$ 2 ,504,360"
93268,197.6%,"$ 3 1,433,123",24.4%,"$ 1 0,560,882",12.7%,"$ 8 ,489,459",-7.6%,"$ 7 ,530,701","$ 8 ,151,068"
93276,-25.7%,"$ 2 66,440",509.7%,"$ 3 58,793",17.7%,"$ 5 8,850",0.0%,"$ 5 0,000",$ -
93280,47.7%,"$ 1 0,202,007",322.8%,"$ 6 ,908,224",4.2%,"$ 1 ,634,036",16.6%,"$ 1 ,567,603","$ 1 ,344,406"
93283,205.7%,"$ 5 4,267,436",23.7%,"$ 1 7,753,197",74.3%,"$ 1 4,357,234",67.5%,"$ 8 ,239,232","$ 4 ,917,520"
93285,13.5%,"$ 2 45,225,720",16.4%,"$ 2 15,988,902",19.3%,"$ 1 85,597,379",27.8%,"$ 1 55,575,931","$ 1 21,769,238"
93287,23.4%,"$ 8 ,280,892",7.9%,"$ 6 ,709,109",2.2%,"$ 6 ,220,687",811.7%,"$ 6 ,088,052","$ 6 67,761"
93301,246.5%,"$ 2 4,918,039",27.0%,"$ 7 ,192,045",-3.6%,"$ 5 ,663,966",-18.4%,"$ 5 ,872,728","$ 7 ,193,732"
93304,131.3%,"$ 9 0,767,172",26.5%,"$ 3 9,239,219",-5.4%,"$ 3 1,029,479",12.2%,"$ 3 2,784,163","$ 2 9,212,083"
93305,137.7%,"$ 8 5,438,327",26.2%,"$ 3 5,949,939",7.1%,"$ 2 8,492,751",8.2%,"$ 2 6,603,572","$ 2 4,583,272"
93306,272.8%,"$ 1 34,303,385",83.5%,"$ 3 6,027,004",8.5%,"$ 1 9,631,594",1.4%,"$ 1 8,099,980","$ 1 7,848,475"
93307,127.0%,"$ 1 30,615,788",18.7%,"$ 5 7,541,818",-1.9%,"$ 4 8,494,338",7.5%,"$ 4 9,438,286","$ 4 5,999,201"
93308,194.7%,"$ 1 38,178,178",148.8%,"$ 4 6,882,295",7.7%,"$ 1 8,843,870",7.9%,"$ 1 7,493,639","$ 1 6,214,610"
93309,318.2%,"$ 6 1,665,959",69.1%,"$ 1 4,746,201",-7.3%,"$ 8 ,719,896",20.3%,"$ 9 ,409,909","$ 7 ,820,395"
Total,59.4%,"$ 431,066,383,171",33.8%,"$ 2 70,510,184,565",29.8%,"$ 2 02,103,248,060",35.0%,"$ 1 55,719,573,171","$ 1 15,311,779,134"
93311,259.7%,"$ 2 7,618,237",108.7%,"$ 7 ,677,567",16.8%,"$ 3 ,678,401",60.0%,"$ 3 ,148,712","$ 1 ,967,629"
93312,230.0%,"$ 4 6,740,400",87.3%,"$ 1 4,164,003",-1.2%,"$ 7 ,563,323",116.3%,"$ 7 ,652,048","$ 3 ,537,620"
93313,184.0%,"$ 4 6,671,627",123.6%,"$ 1 6,436,537",-4.0%,"$ 7 ,349,400",42.5%,"$ 7 ,656,195","$ 5 ,372,777"
93314,233.3%,"$ 3 0,747,589",36.9%,"$ 9 ,224,980",-18.4%,"$ 6 ,740,369",97.4%,"$ 8 ,260,908","$ 4 ,185,653"
93501,269.0%,"$ 2 3,737,981",27.0%,"$ 6 ,433,643",12.4%,"$ 5 ,064,617",32.2%,"$ 4 ,504,479","$ 3 ,406,340"
93505,271.1%,"$ 4 5,425,347",130.5%,"$ 1 2,241,803",10.9%,"$ 5 ,310,111",-3.5%,"$ 4 ,786,925","$ 4 ,958,490"
93516,1033.8%,"$ 9 ,092,456",-58.3%,"$ 8 01,912",39.9%,"$ 1 ,925,243",13.0%,"$ 1 ,376,446","$ 1 ,217,571"
93518,21.8%,"$ 8 6,744,047",56.8%,"$ 7 1,247,252",34.0%,"$ 4 5,439,748",81.4%,"$ 3 3,912,224","$ 1 8,693,821"
93523,190.3%,"$ 5 ,937,461",119.7%,"$ 2 ,045,411",23.1%,"$ 9 31,213",-30.5%,"$ 7 56,587","$ 1 ,088,682"
93527,96.2%,"$ 2 0,385,881",12.5%,"$ 1 0,392,831",42.8%,"$ 9 ,240,258",16.7%,"$ 6 ,468,621","$ 5 ,542,924"
93528,60.5%,"$ 1 ,214,517",6.3%,"$ 7 56,517",5.2%,"$ 7 11,975",65.0%,"$ 6 76,753","$ 4 10,259"
93531,50.0%,"$ 1 02,103,145",15.7%,"$ 6 8,068,731",-10.8%,"$ 5 8,846,469",26.7%,"$ 6 6,000,185","$ 5 2,111,623"
93555,464.1%,"$ 6 7,558,802",124.2%,"$ 1 1,975,353",-11.3%,"$ 5 ,341,721",-1.5%,"$ 6 ,024,118","$ 6 ,115,390"
93560,252.1%,"$ 4 5,006,987",24.0%,"$ 1 2,781,651",67.4%,"$ 1 0,309,748",1.0%,"$ 6 ,158,032","$ 6 ,098,877"
93561,45.4%,"$ 1 ,137,929,387",36.1%,"$ 7 82,429,192",39.3%,"$ 5 74,818,295",43.6%,"$ 4 12,649,743","$ 2 87,270,945"
93202,-28.5%,"$ 1 ,446,614",50.2%,"$ 2 ,022,769",0.0%,"$ 1 ,346,325",0.0%,$ -,$ -
93204,-29.8%,"$ 2 ,232,667",695.8%,"$ 3 ,182,446",5.2%,"$ 3 99,917",4.9%,"$ 3 80,035","$ 3 62,200"
93212,32.0%,"$ 7 ,155,463",4.2%,"$ 5 ,419,073",30.4%,"$ 5 ,200,731",-11.8%,"$ 3 ,987,429","$ 4 ,520,044"
93230,259.5%,"$ 3 9,699,304",62.1%,"$ 1 1,041,496",291.0%,"$ 6 ,810,703",11.2%,"$ 1 ,742,003","$ 1 ,567,174"
93239,84.3%,"$ 7 49,460",-65.1%,"$ 4 06,608",221.0%,"$ 1 ,165,074",-58.8%,"$ 3 62,966","$ 8 80,826"
93245,245.5%,"$ 7 ,990,516",172.1%,"$ 2 ,312,455",216.2%,"$ 8 49,801",15.6%,"$ 2 68,788","$ 2 32,500"
95422,109.0%,"$ 2 84,254,659",74.1%,"$ 1 36,017,196",56.0%,"$ 7 8,134,837",105.8%,"$ 5 0,085,830","$ 2 4,339,544"
95423,73.6%,"$ 1 79,367,432",100.6%,"$ 1 03,339,992",77.6%,"$ 5 1,510,931",125.5%,"$ 2 9,003,239","$ 1 2,863,661"
95426,37.4%,"$ 2 99,003,762",50.0%,"$ 2 17,694,013",124.1%,"$ 1 45,090,506",33.3%,"$ 6 4,746,340","$ 4 8,587,813"
95443,22.7%,"$ 2 9,851,650",57.9%,"$ 2 4,326,790",400.8%,"$ 1 5,403,682",682.8%,"$ 3 ,075,863","$ 3 92,923"
95451,24.9%,"$ 9 30,555,918",43.5%,"$ 7 45,113,741",21.5%,"$ 5 19,230,590",38.2%,"$ 4 27,439,033","$ 3 09,256,237"
95453,106.6%,"$ 2 19,833,025",73.9%,"$ 1 06,409,084",62.4%,"$ 6 1,185,958",61.1%,"$ 3 7,676,290","$ 2 3,382,510"
95457,25.8%,"$ 2 80,196,381",67.9%,"$ 2 22,690,027",45.1%,"$ 1 32,643,844",61.3%,"$ 9 1,392,428","$ 5 6,665,060"
95458,89.0%,"$ 1 02,966,340",65.2%,"$ 5 4,482,650",37.6%,"$ 3 2,986,727",203.7%,"$ 2 3,971,167","$ 7 ,892,940"
95461,34.1%,"$ 2 98,712,281",54.8%,"$ 2 22,719,675",110.3%,"$ 1 43,911,922",54.0%,"$ 6 8,447,008","$ 4 4,456,857"
95464,101.3%,"$ 6 6,741,492",43.4%,"$ 3 3,162,685",91.5%,"$ 2 3,121,473",158.1%,"$ 1 2,072,800","$ 4 ,677,132"
95467,39.1%,"$ 2 82,282,866",53.4%,"$ 2 02,894,554",154.7%,"$ 1 32,297,919",120.7%,"$ 5 1,936,554","$ 2 3,535,338"
